game_id,user_id,gun_id
96c420e3-41dc-4e63-9c9c-c29860e773e4,e766e40c-9e3b-481d-a20c-5da6b190d5e5,7937fa7a-52be-4ac0-872a-20e93d3f1e50
f991f17d-b029-46dd-9c1d-7d58ae573ea8,f987ffe8-b613-4172-b5f5-5a23a82e707c,4c41356c-876b-4b23-a14c-cbd622f0c2bb
0b33166e-02e3-4a6f-9e5e-7434dea430c5,02a5eec0-aa31-44c5-b2db-4560d0ba697c,227163ea-e7dc-424a-8c36-29bdb30ffc8f
54f44c90-c209-4b1e-b83b-c84cc4e1dae4,6d044268-12cd-4668-971e-020e44946284,55af625b-cde0-43ec-a82b-8f7195b30361
c6c98486-4c84-40ae-a19c-b5e7a65ce580,744ecda1-94f9-4a34-8444-6682e7dba6b2,66fea248-c649-422d-a370-126c4b92d854
158419e5-0077-4b46-a8b2-6e24b8d3f8cd,6b5f0e52-cfa0-48ed-a072-bbbb97062ad6,487fffd8-420d-4e16-8b01-e47d6eeddd66
49db6261-f7d7-4c46-9493-d40b0a8968dd,b1d7f44f-f760-468e-a065-e1f84e816596,ce6cb605-17a2-42db-b2ad-28fa04929a50
ca8bf912-cc69-480e-9e33-ec6ea7af0ec8,06e7c178-2435-4500-9540-41f6ab2bbe4a,d1537372-0d1f-4ae0-ade9-56d5f8e265fd
0fdca4aa-586a-4b9a-92b1-ef6ade0b8f41,8adcf4d0-9d69-41cd-ad0a-f1a9cbdcf88e,cd4c17c1-99f4-464d-b073-57e21b587cb3
8f056e9e-3e11-4c86-ba8b-36c676dfa346,d08b177f-16b4-4ff3-a2ee-9d689e3e18f1,fd2dfa93-5e00-473a-b355-60c800894708
fcb36350-e90a-4ae6-9ea4-68bec68205fd,4f21e024-9817-4531-88bc-207b9b8bb23d,633697bf-65e5-434e-95b9-420109c7f495
284865f7-d554-46e2-bc0a-74ade109e32d,23326cd5-1713-4001-8350-6ee0bc0c12eb,be9e4379-cc3a-446f-afc4-1cd1d2c090e6
4d8cfadf-8e6b-4431-b92e-a5cdb2d06bbc,a2b5ff70-6efa-46f4-a043-73ac1194d6e0,96b5271d-1bf3-47ab-9aaa-807832c75211
8278032b-1605-40bf-a4fc-dbdf628830d9,1f5315f7-c395-46d2-b1d4-44d4ac335c81,8e924f6f-9831-466b-8e9c-64948deaf052
f3850ac5-8949-4fe0-9fb8-c9b6dcb02ac6,8feaa096-130f-4392-b947-43a1d850679e,b00a6ee1-05df-4d5f-8f20-afd8b1e99229
82dd9f5d-1e89-4f9e-843d-d579cbbb8659,18c5ca60-de37-4a68-a80a-77b0b2c2c029,f5912e5c-d942-4264-8ccf-1e5f882261e1
def138b2-6fde-4235-a522-1a8f025bb902,401b831c-26ea-4cdd-bde3-ae4e1769c159,e6c63b66-192b-43f7-8e3d-b005b7afca4c
76b7ff0e-4083-4f9b-ba17-4c273b2a9aad,c16c63b5-8526-4dd5-a761-3b9e3c8f878d,30b22c3c-b1f9-444e-889c-cc6d8c4c2d73
31eb0268-6592-4655-8b65-8f912e146506,abf1914f-d075-4503-a99e-5e50627ab3cb,a7959a14-928f-4ec3-a9dc-8954a333353d
4cc089f6-f7c3-43fb-8746-efc9defaeab7,2d653a22-11bb-409d-8e05-fe3f0c2903f6,bdec92ca-f810-4876-ae45-b359fd7c5a85
e2e3fd07-42ce-4c6b-8409-e01278f2e2fa,b5d518ba-9f25-4a50-abcb-a5d1629f691b,a3b9ab14-8585-4004-96d4-7f9aab233015
a59f46ca-1109-4edf-81b6-26376422a699,92852bef-30fc-4cd3-b7bd-69a54ef3a4ad,0ae3c3a0-2f71-4c21-b5be-cf7f71d11e48
7b079403-bb64-49da-ba81-ff3eabdb8b20,d465185a-25e9-49ab-b68a-6dab91ccf9fe,d7d2e3db-68a9-4837-af1b-cea029e5843b
c408d810-da52-4571-bb82-713b97e9dc1c,79969ccc-6fcd-4460-ba95-f7c88aa7f68d,3aee9926-625e-458f-82b5-546f07754112
bd2ce7a7-53f9-4e4e-8286-800ed0042e9a,15fbbec2-eeff-47fe-8af9-d100ab2844d5,8d7c8a19-b8ba-4a25-a28b-b0f28149c141
9b75778d-0a8a-4d08-9419-ce6f0ab169c3,5c796751-27c9-4641-a8ff-daa5457331f4,8718460b-ea41-4833-9e12-3762d9f3f530
c0b20519-29f4-4e91-a0f1-75ec0d60e91c,a7b5a529-5ad2-43ce-897d-2302d09e976f,a9c449ba-2af9-4b54-901c-d48c0f69a71d
