transaction_id,user_id,item_id
383fcd60-5208-4e95-908a-9ef3964e9292,7e7dbb57-2b4e-4cc7-8583-6bc7308c3c70,59480884-9d40-4459-8e2e-3f8beb298be4
98c97c0f-49a1-4b33-b63d-fe4250d0e312,f948076e-4eb7-4927-8f75-f3e2e4619168,979515c5-6a88-4d55-a3f1-bb656647e021
57ec1882-7636-47e6-8e98-a76a0330d019,78626e67-14a8-4b95-8d80-1aea2068f00c,8d8faf1d-4717-4ef3-b111-75a05dc798e8
ef1c96d0-f4f5-483a-8b7e-826de02b09a3,bbcc203a-c10f-4a54-9c89-951f0e9c5632,30b19aba-3702-4142-82a3-3d9c6b356a27
2a0fbfe6-94cd-455a-a304-19be34d08af7,3ed8e3b1-7b8e-4fae-bb0c-136de1bc7b7f,8dc2c99f-c853-4136-87f2-7f72a7651d5f
45ae22ae-f186-4693-b949-e853cbf467d2,5d8ed0c7-33ef-47db-8098-b93791d4d0d4,37c25250-1fe0-48de-b4ad-ec75515aec3e
1e77ced8-edbf-4989-9f05-f9420ccc968c,2c891428-3376-43e9-8989-599bd72872bd,444ce41f-f183-4ffb-b714-8ae236550699
82ce0ba1-c214-4033-8172-e5cf263c944e,687cad7c-554d-4c8e-b4e6-0a49c644d0ef,b9a0e584-e45b-46eb-83fd-98444f44a0de
c1fcccbf-f057-48d5-a578-bb3f4f8ed14f,4d69a9fa-4815-4b2e-8519-de2cbecbcb60,bdc6cd55-b6cd-4839-8173-e136d40f6724
438f82b1-cf01-4eaf-863f-0c1295c627ba,9630c812-5770-45f8-b432-3fadbb4f574b,a4be2040-0ed0-41f3-9de5-4e01428e2966
f924a40a-1120-4e1d-906a-bf1cf946b05e,7cb9525f-2801-444d-83c4-c77baf8d24c5,b1593e3a-fa4b-4a57-9558-631df34ef338
8076652d-f595-471f-b9ec-db4136347ec8,7b5059ea-a98d-4ebc-8cb2-86fb47efd4c3,18692a65-7696-4cf7-9add-7b3452132a10
8988ff34-2014-4d0b-b74e-ec983c3f3c42,20a1ec76-01b3-4700-a746-c0c24c53d88f,b9dd14f3-522f-411b-ba0a-2991faa0e0f4
5cebb7aa-1263-4ba0-8653-24a61a7443a3,7315ab22-4948-446f-9448-9ffe3500ee78,7bfde1ee-2cfa-4ef9-a9e0-435d6db1ae1d
72372709-28dc-4786-840f-8272c4671fac,ca6cc8d5-bf69-44db-957a-b5b874b349e0,60af8052-90b2-4824-a87a-1462533ee81b
